"ID";"Type";"Name";"Breed";"Sex";"Age";"Color";"Size";"Description"
"A0001";"Dog";"Buddy";"Labrador Retriever";"Male";"3";"Golden";"Medium";"Friendly and playful"
"A0002";"Cat";"Whiskers";"Siamese";"Female";"2";"White & Grey";"Small";"Sweet and cuddly"
"A0003";"Dog";"Max";"German Shepherd";"Male";"5";"Black & Tan";"Large";"Loyal and protective"
"A0004";"Rabbit";"Floppy";"Dutch Lop";"Female";"1";"Brown & White";"Small";"Curious and energetic"
"A0005";"Cat";"Luna";"Persian";"Female";"4";"White";"Medium";"Calm and affectionate"
"A0006";"Dog";"Bella";"Beagle";"Female";"2";"Tricolor";"Medium";"Friendly and curious"
"A0007";"Dog";"Rocky";"Golden Retriever";"Male";"7";"Golden";"Medium";"Gentle and playful"
"A0008";"Rabbit";"Thumper";"Mini Rex";"Male";"1";"Grey";"Small";"Playful and mischievous"
"A0009";"Cat";"Ginger";"Maine Coon";"Female";"3";"Orange Tabby";"Large";"Independent and playful"
"A0010";"Dog";"Charlie";"Pug";"Male";"4";"Fawn";"Small";"Friendly and affectionate"
"A0011";"Cat";"Milo";"Domestic Shorthair";"Male";"2";"Black";"Small";"Loving and playful"
"A0012";"Dog";"Daisy";"Poodle";"Female";"5";"White";"Medium";"Intelligent and playful"
"A0013";"Dog";"Coco";"Shih Tzu";"Female";"3";"Brown & White";"Small";"Affectionate and lively"
"A0014";"Rabbit";"Nibbles";"Holland Lop";"Male";"1";"White";"Small";"Sweet and timid"
"A0015";"Cat";"Smokey";"Bengal";"Male";"4";"Spotted Brown";"Medium";"Active and curious"
"A0016";"Dog";"Bailey";"Husky";"Female";"2";"Grey & White";"Large";"Energetic and playful"
"A0017";"Cat";"Oliver";"British Shorthair";"Male";"3";"Grey";"Medium";"Affectionate and calm"
"A0018";"Dog";"Lucy";"Yorkshire Terrier";"Female";"5";"Brown & Black";"Small";"Energetic and feisty"
"A0019";"Dog";"Cooper";"Border Collie";"Male";"3";"Black & White";"Medium";"Intelligent and active"
"A0020";"Rabbit";"Binky";"Lionhead";"Female";"2";"Brown & White";"Small";"Sweet and playful"
