"ID";"Animal_ID";"Date";"Vet_Name";"v_Procedure"
1;"A0005";"2024-01-20";"Dr. Singh";"Emergency visit, X-ray, treatment for paw injury"
2;"A0010";"2024-02-22";"Dr. Patel";"Dental cleaning and examination"
3;"A0006";"2023-03-20";"Dr. Singh";"X-ray for suspected leg injury"
4;"A0014";"2023-03-19";"Dr. Kim";"Bloodwork for senior wellness"
5;"A0011";"2023-03-10";"Dr. Kim";"Follow-up for ear infection"
6;"A0003";"2023-03-18";"Dr. Kim";"Dental cleaning and exam"
7;"A0009";"2023-03-16";"Dr. Singh";"Neuter surgery"
8;"A0016";"2023-03-08";"Dr. Patel";"Treatment for digestive upset"
9;"A0002";"2023-02-28";"Dr. Singh";"Spay surgery"
10;"A0013";"2023-02-20";"Dr. Singh";"Microchip insertion"
11;"A0001";"2023-03-12";"Dr. Patel";"Annual checkup, vaccinations, flea/tick treatment"
12;"A0008";"2023-02-15";"Dr. Patel";"Wound treatment"
13;"A0007";"2023-03-01";"Dr. Kim";"Annual checkup, vaccinations"
14;"A0012";"2023-03-03";"Dr. Patel";"Annual checkup, vaccinations, heartworm test"
15;"A0004";"2023-03-05";"Dr. Patel";"Skin allergy treatment"
